C," ""degree"""," ""accuracy"""," ""sd""\r\n"
0.250000, 1, 38.231884, 2.056213 
0.250000, 2, 21.101452, 1.951261 
0.250000, 3, 18.840582, 1.896609 
0.250000, 4, 17.826086, 1.867902 
2.000000, 1, 14.637679, 1.758297 
2.000000, 2, 12.927538, 1.685499 
2.000000, 3, 12.289858, 1.655442 
2.000000, 4, 11.391306, 1.610106 
16.000000, 1, 9.797102, 1.520059 
16.000000, 2, 8.898550, 1.463102 
16.000000, 3, 8.376813, 1.427692 
16.000000, 4, 7.739133, 1.381830 
128.000000, 1, 7.855070, 1.390393 
128.000000, 2, 7.043481, 1.328200 
128.000000, 3, 6.579709, 1.290136 
128.000000, 4, 6.492752, 1.282773 
1024.000000, 1, 6.811595, 1.309413 
1024.000000, 2, 6.318843, 1.267830 
1024.000000, 3, 5.913043, 1.231759 
1024.000000, 4, 6.144929, 1.252582 
